unique_id,osmid,name,geometry,longitude,latitude,usage_count,POI_type,amenity
node/7342681089,7342681089,L&L sportwestköln e.K.,POINT (6.8584693 51.0151601),6.8584693,51.0151601,0,POI_shop,
node/7342681096,7342681096,,POINT (6.8584176 51.0150875),6.8584176,51.0150875,0,POI_shop,
node/7342681102,7342681102,,POINT (6.8588126 51.0147875),6.8588126,51.0147875,0,POI_shop,
node/7353586518,7353586518,Blumengarten Köln,POINT (6.9371573 50.9412267),6.9371573,50.9412267,14578,POI_shop,
node/7353586522,7353586522,Osho UTA Institut,POINT (6.9374561 50.9410745),6.9374561,50.9410745,15686,POI_shop,
node/7362464285,7362464285,La Bellezza,POINT (7.0723462 50.9767365),7.0723462,50.9767365,0,POI_shop,
node/7362464286,7362464286,Blumen Iburg,POINT (7.0725237 50.9766286),7.0725237,50.9766286,0,POI_shop,
node/7362464287,7362464287,Konditorei Rose,POINT (7.072452 50.976688),7.072452,50.976688,0,POI_shop,
node/7362751115,7362751115,Kölsch Bloot,POINT (6.9150755 50.9510625),6.9150755,50.9510625,9126,POI_shop,
node/7367855113,7367855113,,POINT (6.9499429 50.9606247),6.9499429,50.9606247,4706,POI_shop,
node/7369491625,7369491625,Das Haarstudio,POINT (6.8516385 51.0136405),6.8516385,51.0136405,0,POI_shop,
node/7373791218,7373791218,Tropic-Ana,POINT (6.9539219 50.9612468),6.9539219,50.9612468,6338,POI_shop,
node/7373791219,7373791219,Silko Schüler Raumausstattung GmbH & Co. KG,POINT (6.9534452 50.9611927),6.9534452,50.9611927,6365,POI_shop,
node/7373791222,7373791222,Späti Kiosk Nippes,POINT (6.9526304 50.9595342),6.9526304,50.9595342,4924,POI_shop,
node/7380314394,7380314394,autoinsel Köln,POINT (6.8376999 50.9385174),6.8376999,50.9385174,978,POI_shop,
node/7380314397,7380314397,liebensWert,POINT (6.8367801 50.9400612),6.8367801,50.9400612,1046,POI_shop,
node/7380314398,7380314398,Thai World Massage,POINT (6.837901 50.9384912),6.837901,50.9384912,974,POI_shop,
node/7380314399,7380314399,tipster,POINT (6.8375132 50.9385),6.8375132,50.9385,982,POI_shop,
node/7380314402,7380314402,Frank M,POINT (6.8366168 50.9400672),6.8366168,50.9400672,1050,POI_shop,
node/7382889523,7382889523,KiK Textilien & Non-Food GmbH,POINT (6.8975416 50.9568906),6.8975416,50.9568906,3244,POI_shop,
node/7382889524,7382889524,Änderungsschneiderei,POINT (6.8996113 50.9573587),6.8996113,50.9573587,3537,POI_shop,
node/7382889527,7382889527,Stern Kiosk,POINT (6.899825 50.9573477),6.899825,50.9573477,3549,POI_shop,
node/7392733809,7392733809,haarfilosophie,POINT (6.8535979 50.938277),6.8535979,50.938277,1337,POI_shop,
node/7392891872,7392891872,Wellness bei Tiffany,POINT (6.8440373 50.9423505),6.8440373,50.9423505,309,POI_shop,
node/7398959888,7398959888,Haarstudio Reichel,POINT (6.8545086 51.0137643),6.8545086,51.0137643,0,POI_shop,
