id,provider,vehicleType,date_start,time_start,date_end,time_end,year,month,weekday,hour,weekend,longitude_start,latitude_start,longitude_end,latitude_end,coordinates_start,coordinates_end,distance,duration,speed
YmlrZTo6Zm9yZHBhc3M6OjE3OTQzOA==,fordpass,bicycle,2019-11-19,355,2019-11-20,225,2019,11,1,3,0,6.944622,50.929333,6.9511366,50.927547,"(50.9293, 6.9446)","(50.9275, 6.9511)",497.89795012148085,80999.0,0.022129070981584106
YmlrZTo6Zm9yZHBhc3M6OjE3OTgzNQ==,fordpass,bicycle,2019-11-19,445,2019-11-19,1700,2019,11,1,4,0,6.9300447,50.91473,6.962397599999999,50.942276,"(50.9147, 6.93)","(50.9423, 6.9624)",3810.932059192585,44101.0,0.31108944044564313
YmlrZTo6Zm9yZHBhc3M6OjE4MDM2Ng==,fordpass,bicycle,2019-11-19,530,2019-11-19,540,2019,11,1,5,0,6.9411545,50.93703,6.9512100000000006,50.940308,"(50.937, 6.9412)","(50.9403, 6.9512)",793.284915429767,599.0,4.767655585220637
YmlrZTo6Zm9yZHBhc3M6OjE4MDQwMg==,fordpass,bicycle,2019-11-19,550,2019-11-19,2235,2019,11,1,5,0,6.868585,50.935417,6.862177,50.92804,"(50.9354, 6.8686)","(50.928, 6.8622)",935.1668151223047,60301.0,0.055829928764702025
YmlrZTo6Zm9yZHBhc3M6OjE4MzMwNg==,fordpass,bicycle,2019-11-19,600,2019-11-19,1450,2019,11,1,6,0,6.946363000000002,50.915283,6.9097414000000015,50.94277,"(50.9153, 6.9464)","(50.9428, 6.9097)",3991.1317707836347,31801.0,0.45181203027644057
YmlrZTo6Zm9yZHBhc3M6OjE3OTMwOA==,fordpass,bicycle,2019-11-19,605,2019-11-20,225,2019,11,1,6,0,6.932759299999999,50.934975,6.956332700000001,50.924503,"(50.935, 6.9328)","(50.9245, 6.9563)",2021.2234864461927,73200.0,0.09940443375964883
YmlrZTo6Zm9yZHBhc3M6OjE3OTc4OA==,fordpass,bicycle,2019-11-19,615,2019-11-20,225,2019,11,1,6,0,6.917673,50.950893,6.8915625,50.93509,"(50.9509, 6.9177)","(50.9351, 6.8916)",2536.624731059459,72601.0,0.12578131199038653
YmlrZTo6Zm9yZHBhc3M6OjE4MDAyNg==,fordpass,bicycle,2019-11-19,625,2019-11-19,700,2019,11,1,6,0,6.9379754,50.965115,6.9395323000000015,50.915707,"(50.9651, 6.938)","(50.9157, 6.9395)",5495.009440157442,2100.0,9.420016183127045
YmlrZTo6Zm9yZHBhc3M6OjE2Njg2MQ==,fordpass,bicycle,2019-11-19,625,2019-11-19,1505,2019,11,1,6,0,7.006103,50.96886,6.95701,50.9377,"(50.9689, 7.0061)","(50.9377, 6.957)",4881.683196193521,31204.0,0.5631989330309152
YmlrZTo6Zm9yZHBhc3M6OjE3ODg2NQ==,fordpass,bicycle,2019-11-19,635,2019-11-19,655,2019,11,1,6,0,6.9334570000000015,50.951534,6.92852,50.93058,"(50.9515, 6.9335)","(50.9306, 6.9285)",2355.519729878044,1198.0,7.078356450384773
